GPS vareinace of 0.15
2436.12 1736.24 3.07129 12.0337
2447.82 1732.68 3.31371 10.4959
 2415.73  1762.55 -1.38285   14.739
2467.11 1762.11 7.83377 12.1974
 2430.02  1774.04 -1.57357   15.311
2439.18 1809.13 1.36627 18.2599
2442.56 1788.63 1.36463 9.98926
2451.63 1791.04 2.11028 12.9737
2455.58  1804.8 1.78544 15.1296
 2436.22  1880.02 -1.50557  21.7596
  2432.86   1889.84 -0.130996   17.4417
2453.57 1881.15 3.00877 13.9975
2453.02 1896.24 1.15895 13.6758
2467.34 1910.45 2.62353 15.4688
 2428.63  1935.73 -4.39791  17.2591
 2416.41  1958.55 -3.74376  15.3719
2447.05 1974.97 1.41113 16.1556
 2454.76  1961.03 0.518488  13.0388
 2422.34  1971.18 -4.83432  12.9198
 2419.66  2007.63 -2.56087  17.6199
 2419.14  2011.67 -1.60226  15.3867
 2390.59  2024.62 -4.74196  13.8086
2429.88 2041.79 2.24095 15.7329
2446.31 2072.73 1.87539 17.9975
 2416.44   2104.9 -6.77847  18.0756
 2425.33  2113.38 -12.4333  14.1674
2418.48 2098.03 -19.865 1.75093
  2382.4  2141.91 -21.2063  2.04486
  2361.2  2122.45 -21.7911 -1.92431
  2335.43   2127.41  -22.4226 -0.457279
   2303.68    2130.55   -20.6124 -0.0940298
  2300.11   2131.36  -19.5743 -0.372851
 2295.06  2115.73  -19.459 -2.31908
 2263.97  2100.59  -19.927 -2.81434
  2218.62    2130.7  -23.7851 -0.256999
  2177.3  2103.08  -23.828 -8.81281
 2171.24  2074.29 -13.4964 -8.18136
 2183.92  2094.84 -8.82555 -5.49187
 2170.74  2072.12 -9.22234 -7.20993
  2189.56   2089.78  -1.68968 -0.479704
 2147.59  2082.92 -7.21204 -2.14127
 2142.71   2081.6 -3.80125 -1.42602
  2134.9  2078.02 -5.66391 -3.04922
 2123.47  2080.66 -6.24511 -4.98703
 2144.88  2048.38 -3.81905 -9.80582
 2128.85  2071.94 -7.96248 -4.31326
 2105.22  2059.97 -10.9599 -8.96098
 2112.98  2065.11 -9.15411  -9.2998
 2084.61   2029.1 -12.9116 -14.4362
 2079.12  2028.21 -12.7958 -13.3193
 2081.33  2005.64 -12.6021 -16.1702
 2034.96  1994.56 -17.9864  -14.736
 2038.13  1984.82 -12.1414 -11.7978
 2021.37  1976.95 -10.3753 -9.13205
 2001.28  1945.47 -6.35874 -7.54922
 1999.06  1936.25 -3.21887  -4.3216
2028.12  1969.2 3.16311 3.24582
2029.11  1976.4 1.06481  1.8758
  2019.23   1925.35 -0.747817  -4.98361
 1989.91  1939.85  -3.5413 0.134681
2015.67 1950.58 2.66651  1.4156
 2012.47   1935.4 0.476049 -1.21682
  2016.09   1935.57  0.553121 -0.348252
 2001.12  1905.71 -1.83513 -3.93538
2018.91 1930.25 1.37109 1.45679
 2019.38  1923.12 0.468277  -0.3661
   2018.33    1925.18 -0.0474879   0.198335
  1991.78   1916.05  -2.90829 -0.934135
  2017.83   1914.41   2.06773 -0.467803
 1986.61  1938.25 -3.65545  3.00122
  1988.61   1922.01   -0.9117 -0.841572
  1986.48   1931.01 -0.516272  0.763044
 2009.88  1907.18  2.93405 -2.94346
  2004.9  1937.01 0.364998  2.34083
  1997.41   1942.23 -0.737286    1.2969
2027.46 1952.52 3.75469 1.58014
 2029.22  1916.92  1.35342 -3.39069
 2004.94  1950.65 -2.33735  2.79009
 2014.72  1928.09 0.825312 -2.39576
  2008.75    1942.3 -0.395627  0.808178
   2031.1   1939.21    2.4078 -0.105333
 2005.71  1937.09 -2.83423 -0.29493
 2016.71  1945.98 0.322476  0.87762
 2019.91   1944.7 0.459735 0.120234
 1999.29  1928.84 -2.58503 -2.03218
  2003.54    1935.1 -0.336303 0.0540344
 1994.65  1919.94 -1.10753 -1.69908
 2019.12  1900.55  2.96179 -2.83414
  2003.19   1948.57 -0.820568   4.35633
  2022.05   1930.16   1.88481 -0.765675
 2002.65  1944.64 -2.15687  1.73108
2016.63 1942.82 0.85647 0.33704
  2014.71   1972.55 0.0422941   3.46378
  2006.07   1964.93  -1.11169 -0.329806
 1998.39  1954.25 -1.18139 -1.26671
2010.59 1967.92 1.02274 1.16406
  2005.02    1944.1 -0.527214  -2.86692
 1989.18  1956.83 -1.88947 0.500884
  2003.95   1948.47    1.0993 -0.793877
 2003.22  1921.56 0.113795 -3.63871
  2024.52   1929.78   2.35702 -0.229413
 1996.6 1951.33  -2.446 2.36756
 1995.81  1948.86 -2.43482 -1.68721
 1999.49  1932.01  -2.5445 -4.48925
 1998.99  1926.74 -3.86399 -4.90735
 1990.57  1896.69 -5.88394 -8.77027
 1968.97  1930.22 -8.76177 -3.51925
 1991.28  1921.48 -5.62628 -7.39999
 1936.91  1917.23 -14.4752 -8.13867
 1960.08  1910.83 -8.91387 -9.98275
  1978.5  1878.04 -8.55226 -14.4442
 1971.78  1870.11 -10.5801 -12.4698
 1946.85  1857.09 -15.1484 -14.6639
 1914.01  1820.47 -18.4281 -18.9609
 1858.42  1801.44  -21.449 -17.0782
 1879.84  1791.74  -15.999 -18.3276
 1829.56  1778.13 -21.8452 -18.6814
 1840.81  1754.93  -14.202 -16.5645
 1836.68  1725.78 -16.5804 -19.4469
 1787.13  1740.14 -22.0316 -15.6606
 1800.39  1726.43 -13.4285  -15.496
  1777.3  1676.81 -18.1666 -21.4685
 1746.03   1693.3 -20.6402 -16.0043
  1732.7  1668.41 -16.4861  -16.888
  1708.1  1636.27 -19.3221 -20.0369
  1680.4   1589.6 -20.5139 -22.6452
  1655.9     1584 -17.9811 -15.7172
 1667.82  1556.84 -15.0044 -18.3499
 1635.48  1561.66 -16.1807 -13.1414
 1592.78  1536.82 -17.1571 -14.4297
 1597.53  1506.56 -13.8637 -16.9212
 1562.71  1493.96 -17.2477 -15.7459
  1537.4  1484.18 -16.5528 -11.4654
 1522.53  1509.45 -16.4344 -9.17731
 1509.36  1461.62 -16.2421 -16.6487
  1503.2  1448.86 -14.7677 -10.7727
  1485.3  1427.58  -17.076 -13.0915
 1471.03  1413.51 -17.2712  -12.945
 1456.91  1410.03 -10.6822 -6.83534
 1448.23  1402.19 -13.1923 -5.96628
 1418.46  1381.17 -16.1236 -8.31524
 1407.72  1376.02 -12.6947 -6.13159
 1382.52   1362.6 -16.1439 -5.60385
 1361.86  1357.59 -16.5014 -5.25528
  1361.5   1345.8  -11.854 -5.32525
  1324.48   1363.92  -17.4342 -0.533566
 1312.14   1352.7 -16.2083  -3.1076
  1280.49   1365.25  -16.1891 -0.247182
 1255.15  1347.63 -17.3115 -3.92001
 1244.33  1355.43 -16.0085  -1.5382
   1219.16    1360.78   -15.4622 -0.0910686
 1242.27  1348.92 -11.8556 -2.33286
 1227.98   1345.1 -14.8359 -2.15248
  1186.8  1364.06 -17.2791  1.08658
  1199.87   1365.23  -13.5495 -0.552367
 1185.13   1347.9 -15.4123 -3.14441
 1185.79  1341.85 -11.8583 -2.33247
 1165.17  1353.69 -15.4904  -0.4407
 1118.33     1334 -19.6324 -3.37836
 1117.77  1343.07 -13.0091 0.292535
 1089.64  1357.28 -16.7725 0.975331
  1074.49   1361.18  -16.4794 -0.101564
 1038.37  1357.57 -16.8759 -1.33064
 1054.75  1326.95 -13.0626 -4.57536
 1026.69  1322.16 -16.7576 -2.74995
 1003.93   1323.7 -15.3345 -1.11167
 997.308  1341.71 -15.1059 0.792002
 1006.97   1343.96  -13.1914 -0.340973
 960.433  1331.62 -17.5461   -2.437
 968.359  1319.06 -14.1744 -2.94695
 933.789  1316.87 -17.9186 -1.97242
 909.886  1303.76 -15.5166 -2.84599
 911.261   1310.33  -14.2544 -0.897932
 884.247     1328 -17.1156 0.947593
 870.307   1326.86  -14.0913 -0.691438
 835.773  1313.33 -17.7697 -2.32111
 849.28  1324.24 -13.5181 0.152774
