GPS vareinace of 0.15
 1791.17  1723.93 -19.3806  -18.956
 1767.53  1700.52 -17.7075 -17.3778
 1751.15  1684.31 -18.7599 -18.4087
 1732.12  1665.69 -19.4347 -19.0509
 1708.14  1642.43 -17.6379 -17.2542
  1691.7  1626.26 -18.7881 -18.4098
 1672.64  1607.69  -19.376 -18.9758
 1648.82  1584.25 -17.6765 -17.3335
 1632.46  1568.14 -17.9936 -17.6449
 1616.12  1552.02  -15.273 -15.2975
 1597.24  1532.89 -13.8988 -14.0982
 1584.19  1519.84 -14.7957 -14.9426
 1569.29  1504.49  -15.277 -15.4597
 1549.55  1486.55 -15.4568 -12.4688
 1535.51   1474.7 -16.0048 -13.5337
 1519.41  1460.55 -16.4436 -14.1548
  1498.6  1443.61 -16.7045 -10.8418
 1483.42  1433.03 -17.3786 -11.9463
 1466.19  1420.56 -17.6973 -12.4189
 1447.37  1407.22  -11.372 -8.01277
 1435.22  1401.45 -13.7843 -6.10477
 1420.56  1394.85 -14.5935 -6.72656
 1402.14  1386.09 -13.4005 -6.29783
 1388.96  1381.67 -15.0512 -4.67464
  1373.7  1377.01  -15.561 -4.93514
 1354.61  1371.01 -14.1037 -4.51363
 1341.04  1369.11 -15.5743 -2.46497
 1325.36  1366.66 -16.0247 -2.69812
 1305.54   1363.6 -14.6206 -2.19335
 1291.91  1361.05 -15.5495 -2.87981
 1275.95  1358.48 -16.0577 -2.39644
  1256.4  1355.86 -14.7431 -1.28766
  1242.7  1354.28 -15.6447 -1.58168
 1226.81  1352.56 -16.1622 -1.68855
 1206.96  1350.21 -14.7656 -1.58699
 1193.23   1348.7  -15.692 -1.67134
 1177.14  1347.08 -16.2125 -1.70652
 1157.22   1345.2 -14.6778 -1.51767
 1143.53  1343.49 -15.6073 -1.66607
 1127.52   1341.9 -16.1814 -1.70163
 1107.54  1340.42 -14.8719 -0.75752
  1093.9  1339.24 -15.7685 -1.02678
 1078.03  1338.05 -16.2583 -1.28116
 1057.95  1336.56 -14.7547 -1.28035
 1044.14  1335.46 -15.6967 -1.34156
 1028.31  1334.12  -16.171 -1.38376
 1008.52  1331.98 -14.8372  -1.3293
 994.693  1331.02 -15.7381 -1.34276
 978.738  1329.67   -16.28 -1.39313
 958.771  1327.89 -14.6875 -1.26808
 945.105  1326.84 -15.6435 -1.33088
 929.077   1325.5 -16.2653  -1.3874
 909.469  1323.63 -14.6466 -1.27895
 895.295  1322.59 -15.6799 -1.24271
 879.568  1321.31 -16.2697 -1.29988
 859.476  1319.73 -14.7282 -1.17387
 845.939  1318.71 -15.6784 -1.10757
  829.628   1320.01  -16.2585 -0.568231
GPS vareinace of 1


 1609.33  1052.73  -0.9318 0.342152
2149.81 1406.76 49.1606 35.4152
2368.87 1556.56 33.7306 27.8793
2400.43 1582.98 10.7615 15.8328
 2399.65  1593.01 -1.27252  10.4105
 2390.17  1601.61 -6.74584  8.43204
 2380.59  1609.37 -9.12561  9.52559
2371.11 1618.55 -9.5917 9.75239
 2359.08  1630.65 -8.78102  8.89026
 2351.67  1638.27 -9.12296  9.25133
 2342.61  1649.25 -8.35244  10.7279
 2334.66  1662.74 0.140568  13.0571
2337.64 1672.88  10.241 9.62974
2347.83 1682.76 10.5193 9.20154
2359.44 1693.06 9.09246 8.12299
2370.84 1695.94 13.3222 1.41379
2385.59 1696.46 13.6631  1.2846
 2400.56  1698.18  10.9287 0.858092
 2408.83  1699.87  8.53441 0.851717
  2416.1  1699.48  6.13373 0.471579
 2421.93  1700.92  2.63237 0.342976
2426.21 1700.99 4.70256 0.25788
 2429.8  1703.2 3.98385 5.77204
  2431.15   1713.84 -0.134209   9.59867
2432.23 1723.09 1.16485 11.1391
2434.73 1734.69 1.87912 12.8672
2439.53 1752.46 2.41578 14.2024
 2439.59  1765.74 0.799869  16.0785
 2439.02  1781.64 0.981685  16.3209
2442.53 1800.49 1.30976 14.7219
2442.27 1814.72 1.07545 15.7251
2442.41 1830.21 1.04302 16.1567
2446.54  1849.1  1.3978 14.6536
2447.47 1862.82 1.23534 15.6686
 2447.7 1878.61 1.10512 16.2315
2447.38 1900.42 0.82775 14.9699
2448.37 1913.36 1.06787 15.7304
  2450.17   1929.19 -0.286966   16.2692
 2448.52  1949.72 -1.59418  14.8885
2447.66 1963.99 -1.3563 15.7713
 2447.81  1980.93 -1.17272  16.4147
 2445.33  2000.22 -1.27546  14.7443
2443.51 2013.29 -1.3667 15.6366
 2443.01  2029.75 -1.23837   16.192
 2441.07   2049.2 -1.22454  14.8031
 2439.49  2062.43 -1.12515  15.6118
 2439.38  2078.41 -1.01241  16.2693
 2437.75  2099.63 -3.66601  16.3283
 2427.76  2112.76 -13.5282  14.1334
 2408.97  2120.74 -21.5467  4.37886
  2383.1  2120.32 -20.2015  -3.1974
 2366.53  2118.66 -20.9753  -1.6061
  2344.54   2118.79  -21.7496 -0.907283
  2315.86   2117.27   -20.086 -0.783065
  2297.58   2116.74   -21.014 -0.733076
   2277.1   2116.97  -21.6402 -0.632675
  2250.48   2115.89  -19.7614 -0.672373
 2232.54  2114.67 -20.7452 -3.00996
  2210.7  2109.09 -20.7076 -7.15164
 2186.34  2101.87  -15.276 -5.07065
 2174.24  2097.25 -12.0766 -7.27334
 2162.82  2089.32 -10.0063 -6.07581
 2153.19  2083.77 -5.52453 -3.27197
 2148.59   2081.6 -4.32473 -2.49359
 2145.32  2079.91 -2.74771 -1.57557
 2139.24   2075.4 -5.23977 -3.19713
 2133.52  2070.26 -5.49098 -5.88091
  2127.4  2065.74 -6.70584 -6.93571
 2119.98  2055.48 -7.39391 -8.15365
 2112.25   2048.5 -9.05104 -9.60429
 2102.68   2036.2 -10.5372 -11.4658
 2090.14  2022.08 -11.1234 -12.0103
 2077.97  2010.74 -12.9693 -13.7076
 2065.02  1995.69 -14.3705 -15.4375
 2045.86  1977.55 -14.7945 -15.5117
 2033.66  1964.62 -12.8292 -12.3865
 2022.98  1953.61  -9.8949 -9.66493
 2011.97  1944.91 -5.09174 -4.69693
 2009.31  1941.53 -2.87415   -2.803
  2007.94   1940.21 -0.174227 -0.170932
 2007.86  1940.39   0.2936 0.318146
   2007.45    1938.86  0.0455122 -0.0690564
   2006.25    1938.46    -0.1222 -0.0659265
   2007.27    1937.84    0.10947 -0.0922281
   2007.02       1938 0.00706495 -0.0109023
  2007.73   1938.49 0.0814631 0.0520667
    2007.58     1938.13 -0.00327318  -0.0367424
    2006.09     1938.24   -0.163633 0.000654183
    2006.66     1938.25   0.0151583 0.000576679
  2008.5  1939.76   0.2408 0.195617
    2008.1    1939.08  0.0310678 -0.0137039
  2007.58   1939.23 -0.048955 0.0138886
   2007.02     1937.6 -0.0825519  -0.209524
  2007.87   1938.49 0.0674901 0.0326802
  2007.85   1939.09 0.0181124 0.0772681
   2007.17    1938.42 -0.0848934 -0.0713545
  2007.53   1938.86 0.0128677 0.0255655
  2007.88   1938.54 0.0437199 -0.028273
   2007.57    1940.02 -0.0317781   0.186285
    2006.5    1939.12  -0.126672 -0.0410083
  2007.39   1938.15 0.0628007 -0.121226
   2007.69    1937.72  0.0507827 -0.0791039
